order_date,bp,previous_bp,city,order_date_1,order_month,order_year,price_sold_at,quantity
2022-08-11 08:08:59,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 08:08:59,8,2022,593700,1
2022-08-11 08:08:59,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 08:08:59,8,2022,593700,1
2022-08-11 07:59:17,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 07:59:17,8,2022,611300,1
2022-08-11 07:59:17,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 07:59:17,8,2022,611300,1
2022-08-11 07:59:17,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 07:59:17,8,2022,611300,1
2022-08-11 07:58:16,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 07:58:16,8,2022,593700,1
2022-08-11 07:58:16,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 07:58:16,8,2022,593700,1
2022-08-11 07:37:11,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 07:37:11,8,2022,593700,1
2022-08-11 07:37:11,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 07:37:11,8,2022,593700,1
2022-08-11 07:37:11,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 07:37:11,8,2022,593700,1
2022-08-11 07:37:11,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 07:37:11,8,2022,593700,1
2022-08-11 07:37:11,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 07:37:11,8,2022,593700,1
2022-08-11 07:37:05,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 07:37:05,8,2022,611300,2
2022-08-11 07:37:05,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 07:37:05,8,2022,611300,2
2022-08-11 07:37:05,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 07:37:05,8,2022,611300,2
2022-08-11 07:27:46,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 07:27:46,8,2022,593700,1
2022-08-11 07:27:46,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 07:27:46,8,2022,593700,1
2022-08-11 07:27:46,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 07:27:46,8,2022,593700,1
2022-08-11 07:27:46,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 07:27:46,8,2022,593700,1
2022-08-11 07:16:21,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 07:16:21,8,2022,593700,1
2022-08-11 07:16:21,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 07:16:21,8,2022,593700,1
2022-08-11 07:16:21,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 07:16:21,8,2022,593700,1
2022-08-11 07:16:21,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 07:16:21,8,2022,593700,1
2022-08-11 07:12:20,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 07:12:20,8,2022,611300,1
2022-08-11 07:12:20,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 07:12:20,8,2022,611300,1
2022-08-11 07:12:20,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 07:12:20,8,2022,611300,1
2022-08-11 07:12:20,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 07:12:20,8,2022,611300,1
2022-08-11 07:12:20,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 07:12:20,8,2022,611300,1
2022-08-11 07:07:54,584817.0,584889.0,KABUPATEN MALANG,2022-08-11 07:07:54,8,2022,593700,1
2022-08-11 07:07:54,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 07:07:54,8,2022,593700,1
2022-08-11 07:07:54,584889.0,584817.0,KABUPATEN MALANG,2022-08-11 07:07:54,8,2022,593700,1
2022-08-11 06:19:10,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:19:10,8,2022,593700,5
2022-08-11 06:19:10,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:19:10,8,2022,593700,5
2022-08-11 06:18:50,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:18:50,8,2022,593700,2
2022-08-11 06:18:50,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:18:50,8,2022,593700,2
2022-08-11 06:18:50,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:18:50,8,2022,593700,2
2022-08-11 06:18:50,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:18:50,8,2022,593700,2
2022-08-11 06:18:32,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:18:32,8,2022,593700,1
2022-08-11 06:18:32,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:18:32,8,2022,593700,1
2022-08-11 06:18:32,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:18:32,8,2022,593700,1
2022-08-11 06:18:32,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:18:32,8,2022,593700,1
2022-08-11 06:17:50,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:17:50,8,2022,593700,1
2022-08-11 06:17:50,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:17:50,8,2022,593700,1
2022-08-11 06:17:50,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:17:50,8,2022,593700,1
2022-08-11 06:17:50,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:17:50,8,2022,593700,1
2022-08-11 06:17:49,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:17:49,8,2022,611300,1
2022-08-11 06:17:49,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:17:49,8,2022,611300,1
2022-08-11 06:17:49,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:17:49,8,2022,611300,1
2022-08-11 06:17:49,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:17:49,8,2022,611300,1
2022-08-11 06:12:52,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:12:52,8,2022,593700,1
2022-08-11 06:12:52,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:12:52,8,2022,593700,1
2022-08-11 06:12:52,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:12:52,8,2022,593700,1
2022-08-11 06:12:52,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:12:52,8,2022,593700,1
2022-08-11 06:11:07,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 06:11:07,8,2022,593700,1
2022-08-11 06:11:07,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 06:11:07,8,2022,593700,1
